Unnamed: 0,Review,place
23.0,"It is quite a popular temple in the region. The deity is also known as Appanna locally.

Visited this temple way back in the late 1970s and remember climbing quite a few steps to reach the temple. But now vehicles are allowed right up to the temple.

The deity is supposed to be in the form of a wild boar head, human torso & lion tail but we could not see these features as the idol was covered with Sandal paste giving an appearance of Siva Linga. Understand once in a year one can see the deity on Akshaya Tritiya day with out any sandal paste.

We were lucky to see the temple from Sanctum Sanctorium. One can purchase the ticket for Rs 200. Photography is not permitted inside.

We are lucky to have visited this holy temple.",Simhachalam Temple
24.0,Ugra Narasimha Temple up on the hill! Very nice temple!,Simhachalam Temple
25.0,Very different idol of Varaha Narasimha! It is covered in Sandal wood paste and appears like the Shiva Linga. Tickets are available for quick darshan. Temple is maintained well. However the sculptures carved on almost every pillar of the temple have been damaged. Very unfortunate to see that the stories depicted in the carvings have all been lost. Wish they are restored sometime...,Simhachalam Temple
26.0,Lakshmi Narasimhaswamy covered in Sandal paste,Simhachalam Temple
27.0,Ugraha Narasimhaswamy and that's why he is permanently covered in Sandal paste. Could have darshan only for few seconds similar to Tirupati Balaji temple. Preferred mode of visit is private cab or government bus since ola/uber pick up point is far away.,Simhachalam Temple
28.0,The best Temple for Narsimha Swamy,Simhachalam Temple
29.0,"The temple was very nice for our family because we prayed very well.
We went for special Darshan and there was less queue.",Simhachalam Temple
30.0,The powerful Narsimha Swamy,Simhachalam Temple
31.0,"This is a must visit temple for the Hindus. It hosts a Veda patashala and sends purohits to temples in various places.

The temple is atop a small hill and can be approached through several routes.

The crowd levels have increase significantly and the temple authorities have introduced a complex queue line system. All the space inside the temple has been taken up by long steel barriers. It is better to avoid weekends if you want to have a peaceful darshan. Elderly people better buy 100 darshan tickets to avoid walking long distance. Authorities should shorten queue system when the crowds are less. We were forced to walk for several hundred metres even there were no people ahead of us. It took us 15 min to reach the last of the piligrims ahead of us. Coconuts and Tulsi malas are not allowed inside the main deity. You will have to submit them to a small idol in the queue system only.

Getting a view of the idol compensates for all the trouble taken. Prasad was distributed on our bare hands though there were leaf cups available in the office. Drinking water system is available but not convenient.

Some piligrims put their arms around a pillar. They believe that if their fingers touch, they are blessed. Now a person asks you to embrace the pillar and ties a rope around for a few seconds and then collects money for that.",Simhachalam Temple
32.0,Hara narasimha,Simhachalam Temple
33.0,Most powerful place in this world really surprised with miracles of some really saw. Thanks god should I want to visit this Temple with my family love you God always with your blessings I am good,Simhachalam Temple
34.0,Oldest Architecture.,Simhachalam Temple
35.0,"This Temple is located near to vishakapatnam it's a distance about to around 5km from Vizag, probably one of the most Beautiful Temples to visit.",Simhachalam Temple
36.0,Simhachalm temple,Simhachalam Temple
37.0,Lord narasimha swamy temple situated on up hill buses are available from various place in Visakhapatnam.After reaching the simhachalm you can also go by walk steps are available nearly 1000 steps. Lord narasimha swamy in simhachalm temple,Simhachalam Temple
38.0,simhachalam temple visit,Simhachalam Temple
39.0,i suggest if any tourist visit to Vizag stay at dolphin hotel and have relax in hotel and enjoy with great tasty food with different varieties veg and Non veg. Dolphin hotel is a family hotel were u feel very comfortable with the smiley staff.,Simhachalam Temple
40.0,Blessed to have excellent Darshan,Simhachalam Temple
41.0,"there were 3 type of Darshan Queue free, Rs20 and Rs 100. since we went in morning before temple Darshan opens we took Rs20 tickets. Temple Darshan opens at 7 am. we were first few to take Darshan. I was told normally on Saturday and Sunday there is lot of rush weekdays are normally fine.

once you take Darshan, there is another optional ticket of Rs 200 by which you can go really close and also a special prayer is offered with your name and gotra, this 200 ticket also entitles you for Prasad (2 lados)

most of places there is nothing in Hindi or English, so good have someone who knows local language.",Simhachalam Temple
42.0,One of the most renowned temple in South India,Simhachalam Temple
43.0,Travelling to Simhachalam from Vizag using public transport is not much difficult. Its approximately 16 Kms away and one can get regular buses to Simhachalam foot hill. Then one needs to take another bus to hill top in front of Simhachalam temple. One can take the paid entry of Rs20 to avoid queue. Another entry fee of Rs100 is also there. Uber and Ola are available and will charge approx 400 from vizag RK beach to temple.,Simhachalam Temple
44.0,OLD TEMPLE WITH EXCELLENT ARCHITECTURE AND FACILITIES,Simhachalam Temple
45.0,"I have been a frequent visitor for past so many years. Now lot of new facilities including lift for elderly and new area with a very good aesthetic architecture has been built.
With grace of Varaha Lakshami Narasimha Swamy this temple area is growing very nicely.",Simhachalam Temple
46.0,Large Temple Complex,Simhachalam Temple
47.0,There are three levels of paid lines. Go for the middle one at least to avoid the crowd. There is a show and a phone stand outside. Overall the arrangement and crowd control is decent.,Simhachalam Temple
48.0,Simachalam temple,Simhachalam Temple
49.0,The temple is at the outskirts of Vishakapatanam. It is of much local importance. People flock here to offer prayers and also special occasions like marriages and tonsure rituals are also held. Its a huge complex with lot of people regularly engaged in temple activity.,Simhachalam Temple
50.0,A must visit for every Hindu,Simhachalam Temple
51.0,This is a must visit place if you are visiting Vizag. The temple is devoted to one of the vishnu;s incarnation. Place is nearly 15 kms from the city. one can take a bus from Dwaraka bus complex. It is advised to go to visit this temple early in the day as the crowd is not much. We took a 100 Rs darshan ticket and it was done in 15-30 mins.,Simhachalam Temple
52.0,Very pleasant,Simhachalam Temple
53.0,We can get a very fine view of the surrounding hills from the top. The route to the top of the hill is also nice.,Simhachalam Temple
54.0,Get Blessings :),Simhachalam Temple
55.0,Lord Narasimha swamy temple is best known for chandana utsav. Many people do pada yatra to get good feel of hinduism and our tradition,Simhachalam Temple
56.0,Nrusinh temple,Simhachalam Temple
57.0,"This is a good Nrusinh temple. If you are with older people, they have lift on one side. Unfortunately it was not working when i went with my parents and security allowed them after we bought Rs 200 pass.",Simhachalam Temple
58.0,Wonderful Narasimha Temple,Simhachalam Temple
59.0,"A wonderful, well maintained Sri Varaha Lakshmi Narasimha Temple near Visakhapatnam. Must not be missed.",Simhachalam Temple
60.0,A great Vaishnavite pilgrim centre.,Simhachalam Temple
61.0,"A well maintained and ancient temple not to be missed at Vizag. The murthy of the Lord is covered in sandal paste and uncovered only once in a year. If there is crowd take Rs 100 special darshan ticket and near sanctum, take another Arathi ticket @ Rs 100 per head to have a close darshan of the Lord.",Simhachalam Temple
62.0,Simhachalam temple,Simhachalam Temple
63.0,"Worshipping Sri Laxmi Narasimha Swamy, brings us peace, happiness, and eternal joy.
The sun actually peeked from over the hills it revealed the most spectacular view.
Varaha Lakshmi Narasimha temple, Simhachalam
It is at 4,900 ft above the sea level. the huge mountain and its surrounding dense forests.
It has many modern facilities for devotees at the hill shrine and foothill.
It is a true truly relaxing with an awesome travel experience.",Simhachalam Temple
64.0,Long Qs,Simhachalam Temple
65.0,"Be prepared for long q
Very revered
Large walk thru to reach d temple
Parking available
Large crowd at this place",Simhachalam Temple
66.0,Nice temple and worth visiting for religious people,Simhachalam Temple
67.0,"Nice temple and the hill shows nice views. One could reach easily all the way till top in taxi. Normally there is a long queue for getting inside the temple but you can get into faster queues by burying Rs 20 or 100 per head tickets. I think Rs 20 ticket is best as it was shorter than free darshan queue while it was just little longer than Rs 100 queue. There was free prasad being distributed in the temple. Overall, worth a visit for religious people.",Simhachalam Temple
68.0,Simhachalam Temple,Simhachalam Temple
69.0,"The cab or the auto will take you to the simhachalam mandir.However due to the gradient the autos usually do not go up to the temple, rather they would leave you near the base of the hill, from there one can share buses and sumos which climbs up to the mandir on minimum fares. I would caution pilgrims to reach before 11:30 hrs otherwise the main gate is closed for 1hour when you have to wait in the queue to offer homage to Lord Narshimham. The temple is a beautifully intricately rock cut temple with gopuram or sanctum at middle. One is not allowed to go inside the gopuram. The temple and the deity is treat to the eyes and mind.",Simhachalam Temple
70.0,A good thought but returned failure.,Simhachalam Temple
71.0,A must visit. A good start of the day starts by a morning darshan of the diety. The journey of vishakhapatnam was happening but I tried to have darshan but missed it as it was a rush day. Tried through vip line but most people have same thought so a long queue so to visit it should be early in the morning.,Simhachalam Temple
72.0,Find peace of mind,Simhachalam Temple
73.0,Whenever I visit this place I find imminence peace while having the darshan inside the main temple -this cannot be expressed in words.,Simhachalam Temple
74.0,Ancient Temple,Simhachalam Temple
75.0,"The Simhachalam temple is one of the most ancient temples, in Andhra Pradesh, situated. The place has a pleasant climate all over the year. The temple has an unique and agelong mythological background. The temple is neither disturbed not distracted from the agelong conventions, traditions, and ritualistic performances inspite of many economical, political or religious controversies or conflicts in the region.
It is an unparalled and uncomparable temple of its kind not only in the North Circars or Uttarandhra, but in the entire Telugu speaking regions. Though every village in the Telugu nadu is hailed at least by a small Rama Mandiram, the next place goes to Narasimha Temples. Most of them are happended to be ancient temples. In seemandhra, in Telangana, in Rayala seema, and even in the farther Southern regions, presence of a number of Narasimha Temples supports this statement

From days unknown till today a good number of functions like the annual, half yearly, quarterly, fortnightly, weekly and daily ritualistic functions are observed in this temple verbatim. The traditions and conventions stay very hard here and are never disturbed either by the day to day increasing flow of the pilgrims or by the local political disturbances. This ancient temple, which has undisturbed traditions and customs preserved for centuries together, has an, unparalleled and uncomparable place in the history of Sri Vaishnavaite cult.
The arrangements for worship in this temple are very good.One can have adivine experience if you visit in the mornings and Evenings.",Simhachalam Temple
76.0,God Management Of Simhachalam Temple,Simhachalam Temple
77.0,Sri Lakshmi Narasimha vari Devasthanm is the body managing Simhachalm Temple. The Temple is one of the important Temple in Andhra and attracts huge Crowds.The Devasthanam over the years have improved amenites to Pilgrims and facilities. It desrves Commendation.Ofcourse a visit to the temple is a divine experience,Simhachalam Temple
78.0,Simachalam Temple,Simhachalam Temple
79.0,The Simachalam temple is located on a hill top about 30 mins drive from Vizag. The main deity is Lord Narshimha. We had been here in the morning and had a very nice darshan of the Lord.,Simhachalam Temple
80.0,Very old and ancient temple,Simhachalam Temple
81.0,"Visit at least once in your life, good place , neat and clean. Little bit crowded but did not take more than 30mins.",Simhachalam Temple
82.0,Best Temple,Simhachalam Temple
83.0,"Simhachalam temple located around 15 KM from central Vizag is a best temple of God Narsinha , which we visited on early morning of 13 September 19. To avoid crowd and early entry it is better to start around 7 AM from Vizag so no long waiting period for dharshan. But in season crowd starts since donor opens around 7.40AM. Idol of Narsinha also natural creation which covered with sandalwood coating.Surrounding of simhachalam also best place to see and have a walk.With payment of Rs 200, couple permitted to see idol closely and offer prays with prayer. After taking Narsinha dharshan , other idols also worth to see and visit.",Simhachalam Temple
84.0,Divine place on top in middle of beautiful trees hills,Simhachalam Temple
85.0,Om Namo Simhachala Swamye namaha... we went as a couple. reached by 12 pm but too late for Kalyanam... for Kalyanam you should be there by 7 or max by 9 am... nice holy pleasant place to visit from Aug to Jan due to pleasant fog cold climate.. take 200 rs ticket per pax to have garbha gudi darsanam. Else go for 100 rs for quick darsanam,Simhachalam Temple
86.0,Tick on bucket list,Simhachalam Temple
87.0,The people have immense regards for the temple. But you dont see much architecture. It can be a one time visit but could also be skipped if you not one of the worshipers. There is an easy bus access no. 6 A goes to the temple from the simhachalam city.,Simhachalam Temple
88.0,It is a nice devotional place,Simhachalam Temple
89.0,It is general located out the visakhapatnam in simhachalam. Generally rtc bus service will be there to the temple .it is nice place .it is a devotional place of Lakshmi narasimha .and we can through the bus or by walk to the temple,Simhachalam Temple
90.0,A True Divine Experience,Simhachalam Temple
91.0,"One of the important Pilgrimage Center in East Coast of India. Located on a Hill 500 M above sea level near Visakhapatnam, this temple is decicated to Lord Vishnu (Narsimha Avatar). A serene and Peaceful Place.",Simhachalam Temple
92.0,Divine place,Simhachalam Temple
93.0,"I visit this temple often.
Tip: Try to visit on weekdays to skip the line and note the darshan timings ahead",Simhachalam Temple
94.0,A TEMPLE WORTH SEEING,Simhachalam Temple
95.0,"Though it is very close, I have visited the temple after 2 years. The best time to visit the temple is on Monday to Wednesday. On other days there is lot of rush from Orissa and other neighboring states. A new rule is implemented recently. CELLPHONES/CAMERAS NOT ALLOWED INSIDE THE TEMPLE. They have a counter where you can deposit your phone/camera and collect it later on. The atmosphere on top is very cool and neat. The volunteers are quite good and helpful.",Simhachalam Temple
96.0,Serene,Simhachalam Temple
97.0,This temple is a little far fom Vishakhapatnam. The temple is similar to Sri Tirupathi Temple in Andhra Pradesh. One should vist this Temple in Vishakhapatnam.,Simhachalam Temple
98.0,Not worth,Simhachalam Temple
99.0,It is a temple located on Simhachalam temple. Nothing much to see apart from the temple. If you are very religious then please visit by all means else you would be better off visiting Kailashgiri.,Simhachalam Temple
100.0,real god in visakhapatnam,Simhachalam Temple
101.0,really excellent darshan of Lord VARAHA LAKSHMI NARASIMHA SWAMY . every thing is nice .. i have to come again to darshan,Simhachalam Temple
102.0,Great darshan,Simhachalam Temple
103.0,"Went to the temple around 4PM.
It was Rs.200/- ticket to get into the inner sanctum
Had a fantastic very close darshan of the Lord.Felt Blessed",Simhachalam Temple
104.0,Great place to visit,Simhachalam Temple
105.0,"This was really nice place to visit with quite helping and smiling people around.
We wish to come back on Akshay Trutiya",Simhachalam Temple
106.0,divine,Simhachalam Temple
107.0,"must visit, hill top. private vehicle two way will be handy if with family. VIP darshan pass is a good idea",Simhachalam Temple
108.0,The number two temple only next to Tirupati.,Simhachalam Temple
109.0,Situated around 20kms away from city on a hill Simhachalam is the only temple in the world having Narasimha Swamy in both Laxmi and Varaha avatar. A 11cenCE temple made up of granite is worth visiting for every religious touris to the city. It is highly regarded both from people of Andhra and boardering Odissa. Many people visiting this place give away their hair. The view at night is amazing. God is always kept wrapped with a sandal paste of 100 kg brought specially from Kerala. Just concluded is Chandana Utsav when the sandal paste put on the God is removed to offer darshan of the real God when lakhs of people visit to see the actual shape of the God.,Simhachalam Temple
110.0,Simhachaam temple,Simhachalam Temple
111.0,Visited this temple three months back. Went for Abhishekam. Purohits came 3 hrs late. Felt very bad.,Simhachalam Temple
112.0,Poor amenities and high price.,Simhachalam Temple
113.0,"I visited on 5/May/19. 2 days before the famous annual Chandanotsvam. I went for keshkhandanam (giving away your hair). The cost is Rs 25. Higher than Tirumala or Annavaram. Bathroom facility is in a different building, and another Rs 5 is charged for that. And water is only coming in wash basin taps. Very pathetic state of things.
Though on the other hand the Rs100 special darshanam queue was real quick. No stoppage, only your walking speed would decide. The prasadam sales counter was extremely crowded. I didn't dare to go in.",Simhachalam Temple
114.0,A full moon darshan,Simhachalam Temple
115.0,"A very unique styled temple and being a full moon felt that my privileges were divine. Although we reached almost towards the fag end of the darshan, we had taken a special entry ticket. The diety was a huge shivalinga and we were allowed a good 20 minutes of darshan without being jostled and tossed around. What a quiet time with the Lord.....",Simhachalam Temple
116.0,Blessfull place,Simhachalam Temple
117.0,Blessfull place in vizag. Must see in vizag. away from the city. Similar to Tirupathi temple. Big and crowded on weekends,Simhachalam Temple
118.0,Excellent darshan ...,Simhachalam Temple
119.0,It a great place. We could avoid a big queue by purchasing a special ticket of rupees 100. The pathway took us directly inside the temple.,Simhachalam Temple
120.0,Temple at its best,Simhachalam Temple
121.0,Temple premises is very neat and clean. it is a very good attraction for the visitors. The Roads are good,Simhachalam Temple
122.0,Different experinece,Simhachalam Temple
123.0,"This temple is different than the temples in home town, I and my friend liked the place and car/bike is the way to reach there. I'm not sure of the bus though because its over a hill. It's a bit crowded and can be suffocating when the weather is really hot.",Simhachalam Temple
124.0,Simhachalam temple place to see in Vizag,Simhachalam Temple
125.0,"Very nice temple to see similar to tirupati, you need to buy ticket and long queue.
car can reach till the top hill. Rs.20 ticket and Rs.100 ticket available.
Free darshan also available.",Simhachalam Temple
126.0,Wondrous experience,Simhachalam Temple
127.0,The drive up to the legendary Simhachalam Temple is beautiful and you will be awestruck when you reach up. The darshan is orderly and the place spotlessly clean. If only other temples were in the country were more like this. The legend of the nrasimha murti that is covered with chandan to appear as a shivling is fascinating,Simhachalam Temple
128.0,Mini Tirumala,Simhachalam Temple
129.0,"Beautiful and oldest temple, you will get a feeling of Tirumala after taking the long ride up the hill and mammoth size of temple. Must visit for temple lovers and devotional pilgrims.",Simhachalam Temple
130.0,Nice place,Simhachalam Temple
131.0,"We gone by cab , it's hill station , way was very clean and superb ,we enjoyed the ride, Nice place.. most powerful good ...",Simhachalam Temple
132.0,An architectural beautiful Hindu Temple,Simhachalam Temple
133.0,"Nearly 15Kms. from Vizag lies ‘Simhachalam’ the hill of Narasimha Swamy. It has a 13th century Hindu temple and worth a visit even by non-believers to explore the beautiful crafted statues all around the main temple. The basic architect of the temple is based on ‘Odishi’ Kalinga style. The main deity resembles Shivalinga is of Varaha Narsimha [Vishnu]. Built by Eastern Ganga dynasty king Narasimhadev I and faces west but not east [as is common practice]. Especially revered by women devotees for wish fulfilling’s. It contains several sub shrines and mandapams. Two purification tanks are there for cleaning before worshipping. It has a wedding hall [Kalyan Mandapam] with nearly 100 delicately carved pillars. Two small dance hall is graced by 16pillars.
APTDC run buses regularly from the city.
The temple opens at 7AM and closes at 9PM with a two hours break from 4PM to 6PM. Two type of entry fees are applicable. [Rs.20/- and Rs.100/-(VIP)]
I felt the rituals are based on Dravidian society .",Simhachalam Temple
134.0,Simhachalam Temple,Simhachalam Temple
135.0,The Simhachalam temple is the most famous temple in Vizag. The temple is located atop a hill which one can drive upto almost the entrance to the steps leading to the temple. We had very nice darshan of the Lord here.,Simhachalam Temple
136.0,Good,Simhachalam Temple
137.0,"Simhachalam temple, a beautiful temple in night view wonderful ,superb lighting and also good atmosphere",Simhachalam Temple
138.0,Simhachalam Temple!!,Simhachalam Temple
139.0,"very serene, scenic, beautiful and off course well maintained. Obiviously can't give any rating to one of the most powerfull temple. Definitly looking forward to visit again in nearby time.",Simhachalam Temple
140.0,Temle,Simhachalam Temple
141.0,"The image of the presiding deity,shri lakshminarasimha Swami,is covered in a thick layer os sandalwood paste for most part of the year.It is situated among thickly wooded hills",Simhachalam Temple
142.0,Simhachalan Temple,Simhachalam Temple
143.0,"The temple of Varah swami at simhachalam is an architectural masterpiece.It is situated about 17 km from Vizag,The shrine has a beautifully carved 16 pillar Natya mantapa.and 96 pillar Kalyana mantapa",Simhachalam Temple
144.0,Lack of signs in English or Hindi,Simhachalam Temple
145.0,Good temple. However lack of signage in Hindi or English could have been helpful. Had to deposit all ectronic items at a stall.,Simhachalam Temple
146.0,"This temple is beautiful, loving visit there",Simhachalam Temple
147.0,"This place is temple and situated on the top of the hill, very beautifully made and feel relax visiting there, pray from the god and positive atmosphere there, mobile phone and camera are not allowed inside the temple , there is a locker facility there you can put it there.",Simhachalam Temple
148.0,Scenic temple,Simhachalam Temple
149.0,Situated in one of the best scenic locations in Vizag. Good architecture. May need to wait in long ques for Darshan . Food facilities in temple premise are below average.,Simhachalam Temple
150.0,Popular religious place.,Simhachalam Temple
151.0,"This is a popular religious place in Vizag. There is a ghat road to the temple. They have arrangements for different types of pujas and darshan. For the number of people visiting the temple, you can say it is clean.",Simhachalam Temple
152.0,Lords Feet....,Simhachalam Temple
153.0,Holy place and has nice view. Serene and Calm place. Many transportation Services available to the holy place.,Simhachalam Temple
154.0,Peaceful,Simhachalam Temple
155.0,A place to sit down and reflect. The path is worth a view. The prasad of laddoo is tasty. Get a handful for your relatives at home and for yourself.,Simhachalam Temple
156.0,Beautiful temple with good ambience,Simhachalam Temple
157.0,"Temple is situated lil bit outside the city (some 10 km). Spread over large area, this hill top temple is a scenic beauty. It was a weekend and there was some crowd at temple. Darshan of deity went well (took around 1 hr). Good parking place & prasadam is provided at temple.",Simhachalam Temple
158.0,Great temple,Simhachalam Temple
159.0,"I went on a Monday morning around 7am, there was no one and i had the luxury to stand in the temple near to the lord for nearly 20mins and could meditate without being rushed.",Simhachalam Temple
160.0,Religious and peaceful environment,Simhachalam Temple
161.0,"Located around 20+ kilometres from the city of Visakhapatnam, the temple is situated at the hill top which houses to Lord Narashimah and Goddess Lakshmi, where a lot of people visit from different parts of country for prayers. Also apart from this the hill top offers a peaceful environment for people looking to spend time with friends and family out of city hustle.",Simhachalam Temple
162.0,Divine Place,Simhachalam Temple
163.0,Hindu temple of Lakshmi Narayan situated 500 meters above sea level in Vishakhapatnam Andhra Pradesh. Temple is on hill and lot of positive energy.. One must visit this place when you are in Vizag,Simhachalam Temple
164.0,a good temple,Simhachalam Temple
165.0,The temple is very nice but you have to walk a lot and to choose the definite line to see the the goddess image.,Simhachalam Temple
166.0,Divine place in the hills,Simhachalam Temple
167.0,Peace and calm place. Travel to this hill place by car in the rainy season is very exciting. This place has lot of positive energy which you can make out immediately after you enter the main entrance.,Simhachalam Temple
168.0,Hill turns and city view with devotional feeling.,Simhachalam Temple
169.0,From R.T.C complex: 6 A/H Direct bus to hill temple. You have to place ur slippers and camera in paid racks . Thus no clicks are allowed in temple interior. Only thats what disappointing but its ok because be go for pray.,Simhachalam Temple
170.0,"a huge Hindu temple complex high above the sea (4,900 feet)",Simhachalam Temple
171.0,"this one is dedicated to one of the Hindu trinity deities Vishnu. The ido of Varaha Narisimha is covered with sandal wood to resemble a Shiva Lingham.
There is a lot to see and do here. You will have to remove your shoes once you enter the inner sanctum. No photos allowed or any kind of back packs, etc. You will have to hire someone to watch your stuff or choose to stay outside. Expect huge crowds. You are pushing people all the time and it makes it difficult to enjoy what you're seeing. A guide is strongly recommended since there is so much to know that I cannot possibly cover here. We also watched the hair cutting ceremony that caused most little kids to scream their head off (you can take photos here .. .but always ask). Women are to be seen in gorgeous saris and many had great fun having their picture taken and we were often asked to be in one.
Bring water and a sunhat.",Simhachalam Temple
172.0,Lakshmi Narsimha,Simhachalam Temple
173.0,A nice place to visit for every religious person. This is dedicated to Lord Narsimha one of the ten carnations [Awtars] of Vishnu,Simhachalam Temple
174.0,"Nice place, can be better",Simhachalam Temple
175.0,"This Narasimha temple, dedicated to Bhagaban Sri Visnu is situated on the Simhachalam hill and the place is worth to visit if you are in Vizag. The sculptures and murals on the wall are worth to notice.
This temple also has VIP entry to avoid long queue. So we opted that option after paying some extra money. VIP entry fee was Rs. 100 & normal is Rs. 50, as much I recall.
Our experience is good. But the temple & surroundings can be more neat & clean. I have noticed litters here and their. Flowers & leaves must be thrown into the proper places. After all, we are we are educated citizen and leaving in the 21st century.",Simhachalam Temple
176.0,Swati Nakshatra Puja at Simhachalam,Simhachalam Temple
177.0,This was a life time experience to do Swati Nakshatra Puja on the First Day of 2019. Early morning at 6.00 AM I reached the Temple. After daily Aarti puja started by Vedic Brahmins and performed with Hindu rituals in about 3 Hours.Every month on Swati Nakshatra according to Hindu Panchang this Puja is performed. The Temple management has fixed to deposit Rs. 2500.00 for performing same.,Simhachalam Temple
178.0,Devotion,Simhachalam Temple
179.0,"Very nice trip with freinds. Climbing the hill through steps, It's like passing through real nature.",Simhachalam Temple
